Var,Unit,Reg,Item,Macro,Year,Val
NUTR,kcal/cap/d,USA,CORN,SSP2,2030,100.6
NUTR,kcal/cap/d,USA,CORN,SSP2,2040,100.4
NUTR,kcal/cap/d,USA,CORN,SSP2,2050,100.3
NUTR,kcal/cap/d,USA,GNUT,SSP2,2000,45.7
NUTR,kcal/cap/d,USA,GNUT,SSP2,2010,57.7
NUTR,kcal/cap/d,USA,GNUT,SSP2,2020,57.9
NUTR,kcal/cap/d,USA,GNUT,SSP2,2030,57.6
NUTR,kcal/cap/d,USA,GNUT,SSP2,2040,57.3
NUTR,kcal/cap/d,USA,GNUT,SSP2,2050,57.1
NUTR,kcal/cap/d,USA,POTA,SSP2,2000,101.3
NUTR,kcal/cap/d,USA,POTA,SSP2,2010,101.2
NUTR,kcal/cap/d,USA,POTA,SSP2,2020,100.6
NUTR,kcal/cap/d,USA,POTA,SSP2,2030,100
NUTR,kcal/cap/d,USA,POTA,SSP2,2040,99.6
NUTR,kcal/cap/d,USA,POTA,SSP2,2050,99.2
NUTR,kcal/cap/d,USA,RAPE,SSP2,2000,3
NUTR,kcal/cap/d,USA,RAPE,SSP2,2010,2.9
NUTR,kcal/cap/d,USA,RAPE,SSP2,2020,3
NUTR,kcal/cap/d,USA,RAPE,SSP2,2030,3
NUTR,kcal/cap/d,USA,RAPE,SSP2,2040,3
NUTR,kcal/cap/d,USA,RAPE,SSP2,2050,3
NUTR,kcal/cap/d,USA,RICE,SSP2,2000,73.3
NUTR,kcal/cap/d,USA,RICE,SSP2,2010,73.2
NUTR,kcal/cap/d,USA,RICE,SSP2,2020,72.9
NUTR,kcal/cap/d,USA,RICE,SSP2,2030,72.7
NUTR,kcal/cap/d,USA,RICE,SSP2,2040,72.5
NUTR,kcal/cap/d,USA,RICE,SSP2,2050,72.3
NUTR,kcal/cap/d,USA,SRGH,SSP2,2000,10
NUTR,kcal/cap/d,USA,SRGH,SSP2,2010,9.7
NUTR,kcal/cap/d,USA,SRGH,SSP2,2020,9.6
NUTR,kcal/cap/d,USA,SRGH,SSP2,2030,9.7
NUTR,kcal/cap/d,USA,SRGH,SSP2,2040,9.8
NUTR,kcal/cap/d,USA,SRGH,SSP2,2050,9.9
NUTR,kcal/cap/d,USA,SUNF,SSP2,2000,9.3
NUTR,kcal/cap/d,USA,SUNF,SSP2,2010,9.1
NUTR,kcal/cap/d,USA,SUNF,SSP2,2020,9.2
