,,,,,2000,2010,2020,2030,2040,2050
MalaysiaReg,Pota,SPA0,SSP2,scenRCPref,5,6,12,14,16,18
MalaysiaReg,Rape,SPA0,SSP2,scenRCPref,12,85,345,471,541,635
MalaysiaReg,Rice,SPA0,SSP2,scenRCPref,80,101,209,268,296,337
MalaysiaReg,Soya,SPA0,SSP2,scenRCPref,992,1528,2983,3629,4032,4538
MalaysiaReg,Srgh,SPA0,SSP2,scenRCPref,0,0,1,1,1,1
MalaysiaReg,SugC,SPA0,SSP2,scenRCPref,628,788,1514,1884,2075,2343
MalaysiaReg,Sunf,SPA0,SSP2,scenRCPref,3,19,79,108,124,145
MalaysiaReg,SwPo,SPA0,SSP2,scenRCPref,13,16,32,39,43,49
MalaysiaReg,Whea,SPA0,SSP2,scenRCPref,80,104,260,343,384,443
MexicoReg,Barl,SPA0,SSP2,scenRCPref,355,431,682,903,1118,1259
MexicoReg,BeaD,SPA0,SSP2,scenRCPref,71,75,106,132,158,174
MexicoReg,ChkP,SPA0,SSP2,scenRCPref,36,38,53,66,79,87
MexicoReg,Corn,SPA0,SSP2,scenRCPref,3512,4714,6464,8881,11208,12840
MexicoReg,Cott,SPA0,SSP2,scenRCPref,3,4,8,12,15,17
MexicoReg,Gnut,SPA0,SSP2,scenRCPref,3,5,10,15,19,22
MexicoReg,Mill,SPA0,SSP2,scenRCPref,3,4,7,9,12,13
MexicoReg,Pota,SPA0,SSP2,scenRCPref,55,59,82,103,123,136
MexicoReg,Rape,SPA0,SSP2,scenRCPref,468,784,1483,2123,2746,3162
MexicoReg,Soya,SPA0,SSP2,scenRCPref,1161,1477,2102,3163,4184,4888
MexicoReg,Srgh,SPA0,SSP2,scenRCPref,8512,11636,18472,24628,30593,34619
MexicoReg,SugC,SPA0,SSP2,scenRCPref,3299,3514,4928,6154,7335,8096
MexicoReg,Sunf,SPA0,SSP2,scenRCPref,15,25,48,68,88,102
MiddleEast,Barl,SPA0,SSP2,scenRCPref,3145,3701,4814,7045,10782,17869
MiddleEast,BeaD,SPA0,SSP2,scenRCPref,0,0,0,0,1,1
MiddleEast,Cass,SPA0,SSP2,scenRCPref,6,15,33,71,130,240
MiddleEast,ChkP,SPA0,SSP2,scenRCPref,44,67,118,254,380,455
MiddleEast,Corn,SPA0,SSP2,scenRCPref,1673,2114,2957,4636,7436,12770
MiddleEast,Cott,SPA0,SSP2,scenRCPref,25,88,215,484,919,1728
MiddleEast,Gnut,SPA0,SSP2,scenRCPref,1,4,9,20,38,72
MiddleEast,Mill,SPA0,SSP2,scenRCPref,8,15,29,58,88,130
MiddleEast,Pota,SPA0,SSP2,scenRCPref,125,312,688,1471,2706,4989
MiddleEast,Rape,SPA0,SSP2,scenRCPref,10,35,86,193,366,688
MiddleEast,Rice,SPA0,SSP2,scenRCPref,379,744,1476,2957,5162,9138
MiddleEast,Soya,SPA0,SSP2,scenRCPref,618,933,1511,2676,4629,8354
MiddleEast,Srgh,SPA0,SSP2,scenRCPref,121,230,450,906,1369,2021
MiddleEast,SugC,SPA0,SSP2,scenRCPref,408,1013,2237,4779,8795,16211
MiddleEast,Sunf,SPA0,SSP2,scenRCPref,44,152,371,836,1586,2981
MiddleEast,Whea,SPA0,SSP2,scenRCPref,1045,1395,2078,3451,5691,9902
NewZealandReg,Barl,SPA0,SSP2,scenRCPref,28,57,158,236,279,286
NewZealandReg,BeaD,SPA0,SSP2,scenRCPref,,,6,12,20,25
NewZealandReg,Corn,SPA0,SSP2,scenRCPref,21,48,148,221,256,259
NewZealandReg,Mill,SPA0,SSP2,scenRCPref,1,9,30,42,46,45
NewZealandReg,Pota,SPA0,SSP2,scenRCPref,65,154,403,538,592,591
NewZealandReg,Rape,SPA0,SSP2,scenRCPref,2,29,131,197,223,221
NewZealandReg,Soya,SPA0,SSP2,scenRCPref,15,22,,,,
NewZealandReg,Srgh,SPA0,SSP2,scenRCPref,2,24,82,113,123,121
NewZealandReg,SwPo,SPA0,SSP2,scenRCPref,2,4,10,13,15,15
NewZealandReg,Whea,SPA0,SSP2,scenRCPref,25,53,155,229,265,269
NorthernAf,Barl,SPA0,SSP2,scenRCPref,854,1108,1621,2533,3355,3985
NorthernAf,BeaD,SPA0,SSP2,scenRCPref,4,37,113,245,370,469
NorthernAf,Cass,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
NorthernAf,ChkP,SPA0,SSP2,scenRCPref,7,68,204,446,671,852
NorthernAf,Corn,SPA0,SSP2,scenRCPref,2095,2480,3240,4634,5883,6824
NorthernAf,Cott,SPA0,SSP2,scenRCPref,13,33,77,156,230,288
NorthernAf,Gnut,SPA0,SSP2,scenRCPref,3,8,18,36,53,66
NorthernAf,Mill,SPA0,SSP2,scenRCPref,4,6,11,21,30,37
NorthernAf,Pota,SPA0,SSP2,scenRCPref,228,346,584,1001,1379,1672
NorthernAf,Rape,SPA0,SSP2,scenRCPref,9,22,51,105,154,193
NorthernAf,Rice,SPA0,SSP2,scenRCPref,201,399,800,1472,2088,2579
NorthernAf,Soya,SPA0,SSP2,scenRCPref,730,943,1375,2143,2835,3365
NorthernAf,Srgh,SPA0,SSP2,scenRCPref,238,395,717,1309,1858,2286
NorthernAf,SugC,SPA0,SSP2,scenRCPref,1185,1799,3042,5213,7178,8703
NorthernAf,Sunf,SPA0,SSP2,scenRCPref,53,135,316,646,951,1191
NorthernAf,Whea,SPA0,SSP2,scenRCPref,915,1212,1812,2876,3835,4572
Pacific_Islands,Barl,SPA0,SSP2,scenRCPref,0,,,,,
Pacific_Islands,BeaD,SPA0,SSP2,scenRCPref,,,,0,0,
Pacific_Islands,Cass,SPA0,SSP2,scenRCPref,3,,,3,3,3
Pacific_Islands,Corn,SPA0,SSP2,scenRCPref,1,,5,12,15,19
Pacific_Islands,Mill,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
Pacific_Islands,Pota,SPA0,SSP2,scenRCPref,0,,,0,0,0
Pacific_Islands,Soya,SPA0,SSP2,scenRCPref,3,2,5,9,9,10
Pacific_Islands,Srgh,SPA0,SSP2,scenRCPref,2,2,5,5,4,3
Pacific_Islands,SugC,SPA0,SSP2,scenRCPref,12,,,10,10,11
RCAM,Barl,SPA0,SSP2,scenRCPref,2,3,6,9,12,14
RCAM,BeaD,SPA0,SSP2,scenRCPref,32,40,62,90,110,125
RCAM,Cass,SPA0,SSP2,scenRCPref,181,262,480,747,947,1101
RCAM,ChkP,SPA0,SSP2,scenRCPref,1,1,2,3,4,4
RCAM,Corn,SPA0,SSP2,scenRCPref,2411,3571,6898,10937,14037,16470
RCAM,Cott,SPA0,SSP2,scenRCPref,1,1,4,8,11,14
RCAM,Gnut,SPA0,SSP2,scenRCPref,3,6,21,42,58,70
RCAM,Mill,SPA0,SSP2,scenRCPref,1,1,2,4,5,6
RCAM,Pota,SPA0,SSP2,scenRCPref,50,72,132,206,262,304
RCAM,Rice,SPA0,SSP2,scenRCPref,205,283,481,723,903,1040
