Var,Unit,Reg,Item,Macro,Year,Val
PROD,1000 t,ANZ,BVMEAT,SSP2,2000,2605.232
OTHU,1000 t,ANZ,BVMEAT,SSP2,2000,8.085
CONS,1000 t,USA,BVMEAT,SSP2,2000,12517.081
FOOD,1000 t,USA,BVMEAT,SSP2,2000,12341.72
PROD,1000 t,USA,BVMEAT,SSP2,2000,12133.012
OTHU,1000 t,USA,BVMEAT,SSP2,2000,175.361
CONS,1000 t,FSU,BVMEAT,SSP2,2000,4309.734
FOOD,1000 t,FSU,BVMEAT,SSP2,2000,4228.787
PROD,1000 t,FSU,BVMEAT,SSP2,2000,3876.337
OTHU,1000 t,FSU,BVMEAT,SSP2,2000,80.947
CONS,1000 t,BRA,BVMEAT,SSP2,2000,6079.499
FOOD,1000 t,BRA,BVMEAT,SSP2,2000,6024.62
PROD,1000 t,BRA,BVMEAT,SSP2,2000,6605.752
OTHU,1000 t,BRA,BVMEAT,SSP2,2000,54.879
CONS,1000 t,CAN,BVMEAT,SSP2,2000,1046.047
FOOD,1000 t,CAN,BVMEAT,SSP2,2000,1032.123
PROD,1000 t,CAN,BVMEAT,SSP2,2000,1260.003
OTHU,1000 t,CAN,BVMEAT,SSP2,2000,13.924
CONS,1000 t,CHN,BVMEAT,SSP2,2000,5456.839
FOOD,1000 t,CHN,BVMEAT,SSP2,2000,5405.863
PROD,1000 t,CHN,BVMEAT,SSP2,2000,5313.171
OTHU,1000 t,CHN,BVMEAT,SSP2,2000,50.976
CONS,1000 t,IND,BVMEAT,SSP2,2000,2644.905
FOOD,1000 t,IND,BVMEAT,SSP2,2000,2621.033
PROD,1000 t,IND,BVMEAT,SSP2,2000,2854.621
OTHU,1000 t,IND,BVMEAT,SSP2,2000,23.872
CONS,1000 t,WLD,BVMEAT,SSP2,2000,59136.639
FOOD,1000 t,WLD,BVMEAT,SSP2,2000,57848.503
PROD,1000 t,WLD,BVMEAT,SSP2,2000,59136.639
OTHU,1000 t,WLD,BVMEAT,SSP2,2000,1288.136
CONS,1000 t,OSA,BVMEAT,SSP2,2000,6982.539
FOOD,1000 t,OSA,BVMEAT,SSP2,2000,6659.297
PROD,1000 t,OSA,BVMEAT,SSP2,2000,7035.919
OTHU,1000 t,OSA,BVMEAT,SSP2,2000,323.242
CONS,1000 t,EUR,BVMEAT,SSP2,2000,8851.936
FOOD,1000 t,EUR,BVMEAT,SSP2,2000,8618.556
PROD,1000 t,EUR,BVMEAT,SSP2,2000,8991.074
OTHU,1000 t,EUR,BVMEAT,SSP2,2000,233.38
CONS,1000 t,MEN,BVMEAT,SSP2,2000,2166.012
FOOD,1000 t,MEN,BVMEAT,SSP2,2000,2131.023
PROD,1000 t,MEN,BVMEAT,SSP2,2000,1726.853
OTHU,1000 t,MEN,BVMEAT,SSP2,2000,34.989
CONS,1000 t,SSA,BVMEAT,SSP2,2000,3291.394
FOOD,1000 t,SSA,BVMEAT,SSP2,2000,3255.947
PROD,1000 t,SSA,BVMEAT,SSP2,2000,3256.468
OTHU,1000 t,SSA,BVMEAT,SSP2,2000,35.447
CONS,1000 t,SEA,BVMEAT,SSP2,2000,3606.93
FOOD,1000 t,SEA,BVMEAT,SSP2,2000,3367.306
PROD,1000 t,SEA,BVMEAT,SSP2,2000,2209.946
OTHU,1000 t,SEA,BVMEAT,SSP2,2000,239.623
CONS,1000 t,OAS,BVMEAT,SSP2,2000,1288.354
FOOD,1000 t,OAS,BVMEAT,SSP2,2000,1274.944
PROD,1000 t,OAS,BVMEAT,SSP2,2000,1268.251
OTHU,1000 t,OAS,BVMEAT,SSP2,2000,13.41
CONS,1000 t,ANZ,CASS,SSP2,2000,27.638
FOOD,1000 t,ANZ,CASS,SSP2,2000,4.13
OTHU,1000 t,ANZ,CASS,SSP2,2000,23.508
CONS,1000 t dm,ANZ,CASS,SSP2,2000,5.804
FOOD,1000 t dm,ANZ,CASS,SSP2,2000,0.867
OTHU,1000 t dm,ANZ,CASS,SSP2,2000,4.937
CONS,1000 t,USA,CASS,SSP2,2000,212.231
FEED,1000 t,USA,CASS,SSP2,2000,126.318
FOOD,1000 t,USA,CASS,SSP2,2000,20.699
OTHU,1000 t,USA,CASS,SSP2,2000,65.215
CONS,1000 t dm,USA,CASS,SSP2,2000,44.569
FEED,1000 t dm,USA,CASS,SSP2,2000,26.527
FOOD,1000 t dm,USA,CASS,SSP2,2000,4.347
OTHU,1000 t dm,USA,CASS,SSP2,2000,13.695
CONS,1000 t,FSU,CASS,SSP2,2000,25.987
FEED,1000 t,FSU,CASS,SSP2,2000,8.984
FOOD,1000 t,FSU,CASS,SSP2,2000,3.934
PROD,1000 t,FSU,CASS,SSP2,2000,0
OTHU,1000 t,FSU,CASS,SSP2,2000,13.069
CONS,1000 t dm,FSU,CASS,SSP2,2000,5.457
FEED,1000 t dm,FSU,CASS,SSP2,2000,1.887
FOOD,1000 t dm,FSU,CASS,SSP2,2000,0.826
PROD,1000 t dm,FSU,CASS,SSP2,2000,0
OTHU,1000 t dm,FSU,CASS,SSP2,2000,2.744
CONS,1000 t,BRA,CASS,SSP2,2000,21798.906
FEED,1000 t,BRA,CASS,SSP2,2000,10952.45
